text,emotion
yeah coupon   found place randomly really like lot different chocolate flavour keep chocoholics coming back let taste test see might like worry picking something might like,neutral
still love feel gentle breeze hear peal soft wind chime hang outside back door,happiness
normal fama devido ao programa de tv sobremesa foi melhor pratos individuais ma bem servidos,neutral
feeling little less jaded,sadness
never shaken feeling ferocious protectiveness first became mother,hate
figure family love u matter around anyone else feel embarrassed michelle go ballistic,sadness
feel uncertain raise,worry
feeling relaxed quite comfortable faster pace planning running,fun
feel like lost everything everyone,sadness
feel way probably dumb try hardest cover reading lot lot book know becoming doctor,sadness
see starting feel emotional dependence parent stop breathe,sadness
get feel special student event arend seriously spoiled student event far,fun
dying matt feel sweet daughter,happiness
feel pathetic time,sadness
feel like real nut job freaked germ putting anything dangerous body,hate
stop talking keep start feel longing regret,happiness
want say feel vulnerable writing sharing info,worry
feeling passionate alive present,happiness
feel sympathetic towards plant xd href http,happiness
feeling fucked pretty warm night,hate
feel like beaten hard baseball bat arm doctor said apt description,sadness
feeling super productive beautiful flower girl perfect dress,fun
feel like inserting romantic quote kind overflowing fluffy romantic stuff right know word right,happiness
feel ashamed oh romantic,sadness
omatcha black sesame latte attttt going go ahead say flavour go well together since pretty gritty bittersweet taste added sugar help fuse together definitely tell distinction two  cent difference came medium  large  went large  staff friendly service timed pretty well seating area cramped asf unless sit actual table mention booth chair ridiculously high may bit challenge short people getting seated coming back  case c,neutral
arrived pm ordered  personal pan pizza tomato mushroom broccoli  fresh oven w slight amount cheese slight amount sauce sure ask personalize need either plus merlot  waiter either speed downer yet   buddy arrived earlier get song headand ether joined first karaoke experience  sound system pretty crappy song selection country somewhat rock several genre otherwise  crowd small group friend  small group college student  pair drinker bar  pair come go dimly lit comfy booth ordinary tableschairs pool table  try clean bathroom  reminds place visited small highway town driving cross country road tripn,neutral
feel safety change also important user must educated well process,fun
know best good cannot help feel irritated,hate
think feeling sentimental right p aaaaand another work day tomorrow,sadness
feel completely threatened always lingering fear dude going go glenn close,worry
feel cold stony surface underneath,hate
place far prettiest place would seen visiting vega look like damn paradise weather perfect nightclub pool offer sprt seating unless pay literally oregon rhough bit stupid place beautiful,neutral
feel evenly energetic day,fun
feeling overwhelmed asked bqff keep house ready loaded feel behind,surprise
feel like everyone start become slightly fearful,worry
cannot beat atmosphere old cathedral food decent attitude staff hit miss generally pretty good building focal point anywhere else would need take service food couple notch  came hour closing   pm host happy see u waiter cool made,neutral
know feel horny front web cam,happiness
feel pretty convinced time worth would compensated fact work home coffee shop wifi like pretty wonderful,fun
used feel really sympathetic shizumasa chapter seem start disliking,happiness
great atmosphere drink food ok nothing really special  service fantastic friendly  good place hangout get drink  expect much food,neutral
know love math feel weird teaching think change good good challenge,worry
feeling pretty generous going share little magic secret,happiness
already feel jealous new child apprehensive longer favorite,hate
feel terrified scene show replicated ghost ghost yet paranormal thing going around,worry
feel get colt gentle round pen loping circle arena fit one three four hour href http americashorsedaily,happiness
runofthemill chipotle location nothing special small comment really felt like rushed one like  customer restaurant ordering felt like pushed along crowed behind order fast since get thing every time fact going fast speaks volume,neutral
feel rebellious feel like stoner thing alright though,hate
feel like insulted,hate
feel precious fall despair,fun
would hold hand assure enable sense safety security mistakenly misperceived danger situation could cause feel fearful fear abandonment fear alone fear unknown fear getting wrong due natural child like immaturity,worry
know would feel pain become furious feel confused hurt even furious,hate
guess since feeling bit less shitty random picture,sadness
weary feeling longing,happiness
fully expected feel nervous panic impatience scared etc,worry
starting feel lot love friend thought little suspicious since hardly ever come sudden like favorite person world,worry
feel extremely irritated self pitying subtext quote taking psychological toll colleague,hate
came watch steelers game away weekend hostess pleasant ordered gravy fry cheese curd appetizer great sampled couple ipas girl friend berry flavored beer local microbrewery ordered french toast brunch went house burger garlic parmesan fry said french toast good  burger cooked right good fry let seem use powdered cheese waitress seemed like better thing  second sat asked wanted order even time open beer list  tap asked time seemed annoyed would go back food beer sat section would go sit bar instead,neutral
made washington dc last year advocate cnmi foreign worker feel one productive,fun
feel uptight saturday night,worry
flipped guy feel terrible today flipped guy feel terrible href http www,sadness
want say feel feeling offended people emotional state lately,hate
feel selfish know done,hate
live world feel tortured face another day smile,worry
feel people experience rich theory poor asserts gladwell,fun
handful time hit miss place pretencious hipsterish normal day get good bowl pho priced compared authentic place quality  sliced beef pho better place pride self variety spring roll offer found nothing special bad okay plain simple,neutral
review apply sushi chinese food typical american chinese ok enjoy friendliness clean dining area nothing special good place go lunch might try sushi next time,neutral
would still feel frightened,worry
mention feel ignored sad crappy birthday reminds threw th birthday party,sadness
feel pressure funny time,surprise
